sector,ocupacion,nivel_educ,Hombre,Mujer,brecha_pct
Servicios financieros y profesionales,Actividades agrícolas,Básica,41.66667,41.52455,0.3
Servicios financieros y profesionales,Actividades agrícolas,Media superior,41.34367,42.22222,-2.1
Servicios financieros y profesionales,Actividades agrícolas,No especificado,41.346155,45.755815,-10.7
Servicios financieros y profesionales,Actividades agrícolas,Sin instrucción,41.66667,40.50388,2.8
Servicios financieros y profesionales,Actividades agrícolas,Superior,42.666145,44.98062,-5.4
Servicios financieros y profesionales,Comerciantes y vendedores,Básica,35.71429,35.41667,0.8
Servicios financieros y profesionales,Comerciantes y vendedores,Media superior,46.2963,46.51163,-0.5
Servicios financieros y profesionales,Comerciantes y vendedores,No especificado,21.59468,138.88889,-543.2
Servicios financieros y profesionales,Comerciantes y vendedores,Sin instrucción,29.41176,25.0,15.0
Servicios financieros y profesionales,Comerciantes y vendedores,Superior,71.49246,72.67442,-1.7
Servicios financieros y profesionales,Funcionarios y directivos,Básica,72.0,80.0,-11.1
Servicios financieros y profesionales,Funcionarios y directivos,Media superior,66.66667,62.9845,5.5
Servicios financieros y profesionales,Funcionarios y directivos,No especificado,60.14435,89.14728500000001,-48.2
Servicios financieros y profesionales,Funcionarios y directivos,Sin instrucción,54.563495,72.67442,-33.2
Servicios financieros y profesionales,Funcionarios y directivos,Superior,93.02326,77.51938,16.7
