anio,sector,ocupacion,nivel_educ,sexo,poblacion_ocupada,media_ing_hora,mediana_ing_hora
2005,Gobierno,Trabajadores de la educación,Básica,Hombre,15854,37.42,27.69
2005,Gobierno,Trabajadores de la educación,Básica,Mujer,3048,92.38,31.00775
2005,Gobierno,Trabajadores de la educación,Media superior,Hombre,24475,38.05,34.88
2005,Gobierno,Trabajadores de la educación,Media superior,Mujer,8837,71.44,46.51
2005,Gobierno,Trabajadores de la educación,Sin instrucción,Hombre,7483,20.96,20.67
2005,Gobierno,Trabajadores de la educación,Sin instrucción,Mujer,172,7.4,7.39958
2005,Gobierno,Trabajadores de la educación,Superior,Hombre,132404,89.57,67.08
2005,Gobierno,Trabajadores de la educación,Superior,Mujer,46003,84.18,58.14
2005,Gobierno,Trabajadores del arte,Básica,Hombre,78629,24.13,23.26
2005,Gobierno,Trabajadores del arte,Básica,Mujer,82203,24.81,23.26
2005,Gobierno,Trabajadores del arte,Media superior,Hombre,303339,29.08,23.92
2005,Gobierno,Trabajadores del arte,Media superior,Mujer,549053,28.96,24.81
2005,Gobierno,Trabajadores del arte,No especificado,Hombre,287,22.67,22.67442
2005,Gobierno,Trabajadores del arte,No especificado,Mujer,634,46.6,34.5515
2005,Gobierno,Trabajadores del arte,Sin instrucción,Hombre,24567,17.07,15.95
2005,Gobierno,Trabajadores del arte,Sin instrucción,Mujer,7622,17.69,15.5
2005,Gobierno,Trabajadores del arte,Superior,Hombre,774277,44.53,34.88
2005,Gobierno,Trabajadores del arte,Superior,Mujer,710163,39.2,29.07
2005,Industria extractiva,Actividades administrativas,Básica,Hombre,136698,25.99,20.83
2005,Industria extractiva,Actividades administrativas,Básica,Mujer,518,9.03,9.96678
2005,Industria extractiva,Actividades administrativas,Media superior,Hombre,197870,31.89,26.49
2005,Industria extractiva,Actividades administrativas,Media superior,Mujer,4145,22.9,15.55556
2005,Industria extractiva,Actividades administrativas,No especificado,Hombre,4274,16.84,23.199285
2005,Industria extractiva,Actividades administrativas,Sin instrucción,Hombre,111967,18.45,16.36
2005,Industria extractiva,Actividades administrativas,Sin instrucción,Mujer,2699,6.48,6.235465
2005,Industria extractiva,Actividades administrativas,Superior,Hombre,140199,46.53,37.5
2005,Industria extractiva,Actividades administrativas,Superior,Mujer,4498,49.1,43.75
2005,Industria extractiva,Actividades agrícolas,Básica,Hombre,10338,15.86,12.5
2005,Industria extractiva,Actividades agrícolas,Básica,Mujer,4240,18.56,14.53488
2005,Industria extractiva,Actividades agrícolas,Media superior,Hombre,11525,23.75,20.0
2005,Industria extractiva,Actividades agrícolas,Media superior,Mujer,5535,29.23,25.0
2005,Industria extractiva,Actividades agrícolas,Sin instrucción,Hombre,5566,19.52,16.66
2005,Industria extractiva,Actividades agrícolas,Sin instrucción,Mujer,2163,16.58,24.18605
2005,Industria extractiva,Actividades agrícolas,Superior,Hombre,6075,39.88,37.5
2005,Industria extractiva,Actividades agrícolas,Superior,Mujer,2563,40.67,43.75
